name,type,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1,2010 Census Neighborhoods,2010 Census Wards Precincts,Zip Codes
Ambrose Kennedy,Walk-to-Pool,21202,Johnston Square,12,EASTERN,"1000 Ensor St
Baltimore, MD",,,
C.C. Jackson,Walk-to-Pool & Wading Pool,21215,Central Park Heights,6,NORTHWESTERN,"4910 Park Heights Ave
Baltimore, MD",,,
Callow Hill Aquatics Center,Indoor Pool,21215,Cylburn,6,NORTHERN,"2821 Oakley Ave
Baltimore, MD",,,
Canton Playfield,Wading Pool,21224,Canton,1,SOUTHEASTERN,"1239 Ellwood Ave
Baltimore, MD",,,
Central Rosemont,Walk-to Pool & Wading Pool,21216,Bridgeview/Greenlawn,9,WESTERN,"2621 Winchester St
Baltimore, MD",,,
Cherry Hill Aquatics Center,Indoor Pool,21225,Cherry Hill,10,SOUTHERN,"2600 Giles Rd
Baltimore, MD",,,
Cherry Hill Splash Park,Park Pool,21225,Middle Branch/Reedbird Parks,10,SOUTHERN,"101 Reedbird Ave
Baltimore, MD",,,
Chick Webb Aquatics Center,Indoor Pool,21202,Inner Harbor,1,SOUTHEASTERN,"623 Eden St
Baltimore, MD",,,
City Springs,Walk-to-Pool,21231,Washington Hill,1,SOUTHEASTERN,"1600 Lombard St
Baltimore, MD",,,
Clifton Park,Park Pool & Wading Pool,21213,Clifton Park,14,NORTHEASTERN,"2013 Sinclair Ln
Baltimore, MD",,,
Coldstream,Walk-to-Pool & Wading Pool,21218,Coldstream Homestead Montebello,14,NORTHEASTERN,"1400 Fillmore St
Baltimore, MD",,,
Curtis Bay,Wading Pool,21226,Curtis Bay,10,SOUTHERN,"Curtis Ave
Baltimore, MD",,,
Druid Hill Park,Park Pool & Wading Pool,21211,Jones Falls Area,7,NORTHERN,"800 Wyman Park Dr
Baltimore, MD",,,
